      Time   Azimuth   1P_Sine   2P_Sine   3P_Sine   4P_Sine
    0.0570   20.5200    0.3505    0.6566    0.8793    0.9905
    0.0580   20.8800    0.3564    0.6660    0.8881    0.9936
    0.0590   21.2400    0.3623    0.6753    0.8966    0.9961
    0.0600   21.6000    0.3681    0.6845    0.9048    0.9980
    0.0610   21.9600    0.3740    0.6937    0.9127    0.9993
    0.0620   22.3200    0.3798    0.7026    0.9202    0.9999
    0.0630   22.6800    0.3856    0.7115    0.9274    0.9999
    0.0640   23.0400    0.3914    0.7203    0.9343    0.9993
    0.0650   23.4000    0.3971    0.7290    0.9409    0.9980
    0.0660   23.7600    0.4029    0.7375    0.9471    0.9961
    0.0670   24.1200    0.4086    0.7459    0.9530    0.9936
    0.0680   24.4800    0.4144    0.7543    0.9585    0.9905
    0.0690   24.8400    0.4201    0.7624    0.9637    0.9867
    0.0700   25.2000    0.4258    0.7705    0.9686    0.9823
    0.0710   25.5600    0.4315    0.7785    0.9731    0.9773
    0.0720   25.9200    0.4371    0.7863    0.9773    0.9716
    0.0730   26.2800    0.4428    0.7940    0.9811    0.9654
    0.0740   26.6400    0.4484    0.8016    0.9846    0.9585
    0.0750   27.0000    0.4540    0.8090    0.9877    0.9511
    0.0760   27.3600    0.4596    0.8163    0.9905    0.9430
    0.0770   27.7200    0.4652    0.8235    0.9929    0.9343
    0.0780   28.0800    0.4707    0.8306    0.9950    0.9251
    0.0790   28.4400    0.4762    0.8375    0.9967    0.9152
    0.0800   28.8000    0.4818    0.8443    0.9980    0.9048
    0.0810   29.1600    0.4873    0.8510    0.9990    0.8938
    0.0820   29.5200    0.4927    0.8575    0.9997    0.8823
    0.0830   29.8800    0.4982    0.8639    1.0000    0.8702
    0.0840   30.2400    0.5036    0.8702    0.9999    0.8575
    0.0850   30.6000    0.5090    0.8763    0.9995    0.8443
    0.0860   30.9600    0.5144    0.8823    0.9987    0.8306
    0.0870   31.3200    0.5198    0.8881    0.9976    0.8163
    0.0880   31.6800    0.5252    0.8938    0.9961    0.8016
    0.0890   32.0400    0.5305    0.8994    0.9943    0.7863
    0.0900   32.4000    0.5358    0.9048    0.9921    0.7705
    0.0910   32.7600    0.5411    0.9101    0.9896    0.7543
    0.0920   33.1200    0.5464    0.9152    0.9867    0.7375
    0.0930   33.4800    0.5516    0.9202    0.9834    0.7203
    0.0940   33.8400    0.5569    0.9251    0.9799    0.7026
    0.0950   34.2000    0.5621    0.9298    0.9759    0.6845
    0.0960   34.5600    0.5673    0.9343    0.9716    0.6660
    0.0970   34.9200    0.5724    0.9387    0.9670    0.6471
    0.0980   35.2800    0.5776    0.9430    0.9620    0.6277
    0.0990   35.6400    0.5827    0.9471    0.9567    0.6079
    0.1000   36.0000    0.5878    0.9511    0.9511    0.5878
    0.1010   36.3600    0.5929    0.9549    0.9451    0.5673
    0.1020   36.7200    0.5979    0.9585    0.9387    0.5464
    0.1030   37.0800    0.6029    0.9620    0.9321    0.5252
    0.1040   37.4400    0.6079    0.9654    0.9251    0.5036
    0.1050   37.8000    0.6129    0.9686    0.9178    0.4818
    0.1060   38.1600    0.6179    0.9716    0.9101    0.4596
    0.1070   38.5200    0.6228    0.9745    0.9021    0.4371
    0.1080   38.8800    0.6277    0.9773    0.8938    0.4144
    0.1090   39.2400    0.6326    0.9799    0.8852    0.3914
    0.1100   39.6000    0.6374    0.9823    0.8763    0.3681
    0.1110   39.9600    0.6423    0.9846    0.8671    0.3446
    0.1120   40.3200    0.6471    0.9867    0.8575    0.3209
    0.1130   40.6800    0.6518    0.9887    0.8477    0.2970
    0.1140   41.0400    0.6566    0.9905    0.8375    0.2730
    0.1150   41.4000    0.6613    0.9921    0.8271    0.2487
    0.1160   41.7600    0.6660    0.9936    0.8163    0.2243
    0.1170   42.1200    0.6707    0.9950    0.8053    0.1997
    0.1180   42.4800    0.6753    0.9961    0.7940    0.1750
    0.1190   42.8400    0.6800    0.9972    0.7824    0.1502
    0.1200   43.2000    0.6845    0.9980    0.7705    0.1253
    0.1210   43.5600    0.6891    0.9987    0.7584    0.1004
    0.1220   43.9200    0.6937    0.9993    0.7459    0.0753
    0.1230   44.2800    0.6982    0.9997    0.7333    0.0502
    0.1240   44.6400    0.7026    0.9999    0.7203    0.0251
    0.1250   45.0000    0.7071    1.0000    0.7071    0.0000
    0.1260   45.3600    0.7115    0.9999    0.6937   -0.0251
    0.1270   45.7200    0.7159    0.9997    0.6800   -0.0502
    0.1280   46.0800    0.7203    0.9993    0.6660   -0.0753
    0.1290   46.4400    0.7247    0.9987    0.6518   -0.1004
    0.1300   46.8000    0.7290    0.9980    0.6374   -0.1253
    0.1310   47.1600    0.7333    0.9972    0.6228   -0.1502
    0.1320   47.5200    0.7375    0.9961    0.6079   -0.1750
    0.1330   47.8800    0.7417    0.9950    0.5929   -0.1997
    0.1340   48.2400    0.7459    0.9936    0.5776   -0.2243
    0.1350   48.6000    0.7501    0.9921    0.5621   -0.2487
    0.1360   48.9600    0.7543    0.9905    0.5464   -0.2730
    0.1370   49.3200    0.7584    0.9887    0.5305   -0.2970
    0.1380   49.6800    0.7624    0.9867    0.5144   -0.3209
    0.1390   50.0400    0.7665    0.9846    0.4982   -0.3446
    0.1400   50.4000    0.7705    0.9823    0.4818   -0.3681
    0.1410   50.7600    0.7745    0.9799    0.4652   -0.3914
    0.1420   51.1200    0.7785    0.9773    0.4484   -0.4144
    0.1430   51.4800    0.7824    0.9745    0.4315   -0.4371
    0.1440   51.8400    0.7863    0.9716    0.4144   -0.4596
    0.1450   52.2000    0.7902    0.9686    0.3971   -0.4818
    0.1460   52.5600    0.7940    0.9654    0.3798   -0.5036
    0.1470   52.9200    0.7978    0.9620    0.3623   -0.5252
    0.1480   53.2800    0.8016    0.9585    0.3446   -0.5464
    0.1490   53.6400    0.8053    0.9549    0.3269   -0.5673
    0.1500   54.0000    0.8090    0.9511    0.3090   -0.5878
    0.1510   54.3600    0.8127    0.9471    0.2910   -0.6079
    0.1520   54.7200    0.8163    0.9430    0.2730   -0.6277
    0.1530   55.0800    0.8200    0.9387    0.2548   -0.6471
    0.1540   55.4400    0.8235    0.9343    0.2365   -0.6660
    0.1550   55.8000    0.8271    0.9298    0.2181   -0.6845
    0.1560   56.1600    0.8306    0.9251    0.1997   -0.7026
    0.1570   56.5200    0.8341    0.9202    0.1812   -0.7203
    0.1580   56.8800    0.8375    0.9152    0.1626   -0.7375
    0.1590   57.2400    0.8409    0.9101    0.1440   -0.7543
    0.1600   57.6000    0.8443    0.9048    0.1253   -0.7705
    0.1610   57.9600    0.8477    0.8994    0.1066   -0.7863
    0.1620   58.3200    0.8510    0.8938    0.0879   -0.8016
    0.1630   58.6800    0.8543    0.8881    0.0691   -0.8163
    0.1640   59.0400    0.8575    0.8823    0.0502   -0.8306
    0.1650   59.4000    0.8607    0.8763    0.0314   -0.8443
    0.1660   59.7600    0.8639    0.8702    0.0126   -0.8575
    0.1670   60.1200    0.8671    0.8639   -0.0063   -0.8702
    0.1680   60.4800    0.8702    0.8575   -0.0251   -0.8823
    0.1690   60.8400    0.8733    0.8510   -0.0440   -0.8938
    0.1700   61.2000    0.8763    0.8443   -0.0628   -0.9048
    0.1710   61.5600    0.8793    0.8375   -0.0816   -0.9152
    0.1720   61.9200    0.8823    0.8306   -0.1004   -0.9251
    0.1730   62.2800    0.8852    0.8235   -0.1191   -0.9343
    0.1740   62.6400    0.8881    0.8163   -0.1378   -0.9430
    0.1750   63.0000    0.8910    0.8090   -0.1564   -0.9511
    0.1760   63.3600    0.8938    0.8016   -0.1750   -0.9585
    0.1770   63.7200    0.8966    0.7940   -0.1935   -0.9654
    0.1780   64.0800    0.8994    0.7863   -0.2120   -0.9716
    0.1790   64.4400    0.9021    0.7785   -0.2304   -0.9773
    0.1800   64.8000    0.9048    0.7705   -0.2487   -0.9823
    0.1810   65.1600    0.9075    0.7624   -0.2669   -0.9867
    0.1820   65.5200    0.9101    0.7543   -0.2850   -0.9905
    0.1830   65.8800    0.9127    0.7459   -0.3030   -0.9936
    0.1840   66.2400    0.9152    0.7375   -0.3209   -0.9961
    0.1850   66.6000    0.9178    0.7290   -0.3387   -0.9980
    0.1860   66.9600    0.9202    0.7203   -0.3564   -0.9993
    0.1870   67.3200    0.9227    0.7115   -0.3740   -0.9999
    0.1880   67.6800    0.9251    0.7026   -0.3914   -0.9999
    0.1890   68.0400    0.9274    0.6937   -0.4086   -0.9993
    0.1900   68.4000    0.9298    0.6845   -0.4258   -0.9980
    0.1910   68.7600    0.9321    0.6753   -0.4428   -0.9961
    0.1920   69.1200    0.9343    0.6660   -0.4596   -0.9936
    0.1930   69.4800    0.9365    0.6566   -0.4762   -0.9905
    0.1940   69.8400    0.9387    0.6471   -0.4927   -0.9867
    0.1950   70.2000    0.9409    0.6374   -0.5090   -0.9823
    0.1960   70.5600    0.9430    0.6277   -0.5252   -0.9773
    0.1970   70.9200    0.9451    0.6179   -0.5411   -0.9716
    0.1980   71.2800    0.9471    0.6079   -0.5569   -0.9654
    0.1990   71.6400    0.9491    0.5979   -0.5724   -0.9585
    0.2000   72.0000    0.9511    0.5878   -0.5878   -0.9511
    0.2010   72.3600    0.9530    0.5776   -0.6029   -0.9430
    0.2020   72.7200    0.9549    0.5673   -0.6179   -0.9343
    0.2030   73.0800    0.9567    0.5569   -0.6326   -0.9251
    0.2040   73.4400    0.9585    0.5464   -0.6471   -0.9152
    0.2050   73.8000    0.9603    0.5358   -0.6613   -0.9048
    0.2060   74.1600    0.9620    0.5252   -0.6753   -0.8938
    0.2070   74.5200    0.9637    0.5144   -0.6891   -0.8823
    0.2080   74.8800    0.9654    0.5036   -0.7026   -0.8702
    0.2090   75.2400    0.9670    0.4927   -0.7159   -0.8575
    0.2100   75.6000    0.9686    0.4818   -0.7290   -0.8443
    0.2110   75.9600    0.9701    0.4707   -0.7417   -0.8306
    0.2120   76.3200    0.9716    0.4596   -0.7543   -0.8163
    0.2130   76.6800    0.9731    0.4484   -0.7665   -0.8016
    0.2140   77.0400    0.9745    0.4371   -0.7785   -0.7863
    0.2150   77.4000    0.9759    0.4258   -0.7902   -0.7705
    0.2160   77.7600    0.9773    0.4144   -0.8016   -0.7543
    0.2170   78.1200    0.9786    0.4029   -0.8127   -0.7375
    0.2180   78.4800    0.9799    0.3914   -0.8235   -0.7203
    0.2190   78.8400    0.9811    0.3798   -0.8341   -0.7026
    0.2200   79.2000    0.9823    0.3681   -0.8443   -0.6845
    0.2210   79.5600    0.9834    0.3564   -0.8543   -0.6660
    0.2220   79.9200    0.9846    0.3446   -0.8639   -0.6471
    0.2230   80.2800    0.9856    0.3328   -0.8733   -0.6277
    0.2240   80.6400    0.9867    0.3209   -0.8823   -0.6079
    0.2250   81.0000    0.9877    0.3090   -0.8910   -0.5878
    0.2260   81.3600    0.9887    0.2970   -0.8994   -0.5673
    0.2270   81.7200    0.9896    0.2850   -0.9075   -0.5464
    0.2280   82.0800    0.9905    0.2730   -0.9152   -0.5252
    0.2290   82.4400    0.9913    0.2608   -0.9227   -0.5036
    0.2300   82.8000    0.9921    0.2487   -0.9298   -0.4818
    0.2310   83.1600    0.9929    0.2365   -0.9365   -0.4596
    0.2320   83.5200    0.9936    0.2243   -0.9430   -0.4371
    0.2330   83.8800    0.9943    0.2120   -0.9491   -0.4144
    0.2340   84.2400    0.9950    0.1997   -0.9549   -0.3914
    0.2350   84.6000    0.9956    0.1874   -0.9603   -0.3681
    0.2360   84.9600    0.9961    0.1750   -0.9654   -0.3446
    0.2370   85.3200    0.9967    0.1626   -0.9701   -0.3209
    0.2380   85.6800    0.9972    0.1502   -0.9745   -0.2970
    0.2390   86.0400    0.9976    0.1378   -0.9786   -0.2730
    0.2400   86.4000    0.9980    0.1253   -0.9823   -0.2487
    0.2410   86.7600    0.9984    0.1129   -0.9856   -0.2243
    0.2420   87.1200    0.9987    0.1004   -0.9887   -0.1997
    0.2430   87.4800    0.9990    0.0879   -0.9913   -0.1750
    0.2440   87.8400    0.9993    0.0753   -0.9936   -0.1502
    0.2450   88.2000    0.9995    0.0628   -0.9956   -0.1253
    0.2460   88.5600    0.9997    0.0502   -0.9972   -0.1004
    0.2470   88.9200    0.9998    0.0377   -0.9984   -0.0753
    0.2480   89.2800    0.9999    0.0251   -0.9993   -0.0502
    0.2490   89.6400    1.0000    0.0126   -0.9998   -0.0251
    0.2500   90.0000    1.0000    0.0000   -1.0000    0.0000
    0.2510   90.3600    1.0000   -0.0126   -0.9998    0.0251
    0.2520   90.7200    0.9999   -0.0251   -0.9993    0.0502
    0.2530   91.0800    0.9998   -0.0377   -0.9984    0.0753
    0.2540   91.4400    0.9997   -0.0502   -0.9972    0.1004
    0.2550   91.8000    0.9995   -0.0628   -0.9956    0.1253
    0.2560   92.1600    0.9993   -0.0753   -0.9936    0.1502
    0.2570   92.5200    0.9990   -0.0879   -0.9913    0.1750
    0.2580   92.8800    0.9987   -0.1004   -0.9887    0.1997
    0.2590   93.2400    0.9984   -0.1129   -0.9856    0.2243
    0.2600   93.6000    0.9980   -0.1253   -0.9823    0.2487
    0.2610   93.9600    0.9976   -0.1378   -0.9786    0.2730
    0.2620   94.3200    0.9972   -0.1502   -0.9745    0.2970
    0.2630   94.6800    0.9967   -0.1626   -0.9701    0.3209
    0.2640   95.0400    0.9961   -0.1750   -0.9654    0.3446
    0.2650   95.4000    0.9956   -0.1874   -0.9603    0.3681
    0.2660   95.7600    0.9950   -0.1997   -0.9549    0.3914
    0.2670   96.1200    0.9943   -0.2120   -0.9491    0.4144
    0.2680   96.4800    0.9936   -0.2243   -0.9430    0.4371
    0.2690   96.8400    0.9929   -0.2365   -0.9365    0.4596
    0.2700   97.2000    0.9921   -0.2487   -0.9298    0.4818
    0.2710   97.5600    0.9913   -0.2608   -0.9227    0.5036
    0.2720   97.9200    0.9905   -0.2730   -0.9152    0.5252
    0.2730   98.2800    0.9896   -0.2850   -0.9075    0.5464
    0.2740   98.6400    0.9887   -0.2970   -0.8994    0.5673
    0.2750   99.0000    0.9877   -0.3090   -0.8910    0.5878
    0.2760   99.3600    0.9867   -0.3209   -0.8823    0.6079
    0.2770   99.7200    0.9856   -0.3328   -0.8733    0.6277
    0.2780  100.0800    0.9846   -0.3446   -0.8639    0.6471
    0.2790  100.4400    0.9834   -0.3564   -0.8543    0.6660
    0.2800  100.8000    0.9823   -0.3681   -0.8443    0.6845
    0.2810  101.1600    0.9811   -0.3798   -0.8341    0.7026
    0.2820  101.5200    0.9799   -0.3914   -0.8235    0.7203
    0.2830  101.8800    0.9786   -0.4029   -0.8127    0.7375
    0.2840  102.2400    0.9773   -0.4144   -0.8016    0.7543
    0.2850  102.6000    0.9759   -0.4258   -0.7902    0.7705
    0.2860  102.9600    0.9745   -0.4371   -0.7785    0.7863
    0.2870  103.3200    0.9731   -0.4484   -0.7665    0.8016
    0.2880  103.6800    0.9716   -0.4596   -0.7543    0.8163
    0.2890  104.0400    0.9701   -0.4707   -0.7417    0.8306
    0.2900  104.4000    0.9686   -0.4818   -0.7290    0.8443
    0.2910  104.7600    0.9670   -0.4927   -0.7159    0.8575
    0.2920  105.1200    0.9654   -0.5036   -0.7026    0.8702
    0.2930  105.4800    0.9637   -0.5144   -0.6891    0.8823
    0.2940  105.8400    0.9620   -0.5252   -0.6753    0.8938
    0.2950  106.2000    0.9603   -0.5358   -0.6613    0.9048
    0.2960  106.5600    0.9585   -0.5464   -0.6471    0.9152
    0.2970  106.9200    0.9567   -0.5569   -0.6326    0.9251
    0.2980  107.2800    0.9549   -0.5673   -0.6179    0.9343
    0.2990  107.6400    0.9530   -0.5776   -0.6029    0.9430
    0.3000  108.0000    0.9511   -0.5878   -0.5878    0.9511
    0.3010  108.3600    0.9491   -0.5979   -0.5724    0.9585
    0.3020  108.7200    0.9471   -0.6079   -0.5569    0.9654
    0.3030  109.0800    0.9451   -0.6179   -0.5411    0.9716
    0.3040  109.4400    0.9430   -0.6277   -0.5252    0.9773
    0.3050  109.8000    0.9409   -0.6374   -0.5090    0.9823
    0.3060  110.1600    0.9387   -0.6471   -0.4927    0.9867
    0.3070  110.5200    0.9365   -0.6566   -0.4762    0.9905
    0.3080  110.8800    0.9343   -0.6660   -0.4596    0.9936
    0.3090  111.2400    0.9321   -0.6753   -0.4428    0.9961
    0.3100  111.6000    0.9298   -0.6845   -0.4258    0.9980
    0.3110  111.9600    0.9274   -0.6937   -0.4086    0.9993
    0.3120  112.3200    0.9251   -0.7026   -0.3914    0.9999
    0.3130  112.6800    0.9227   -0.7115   -0.3740    0.9999
    0.3140  113.0400    0.9202   -0.7203   -0.3564    0.9993
    0.3150  113.4000    0.9178   -0.7290   -0.3387    0.9980
    0.3160  113.7600    0.9152   -0.7375   -0.3209    0.9961
    0.3170  114.1200    0.9127   -0.7459   -0.3030    0.9936
    0.3180  114.4800    0.9101   -0.7543   -0.2850    0.9905
    0.3190  114.8400    0.9075   -0.7624   -0.2669    0.9867
    0.3200  115.2000    0.9048   -0.7705   -0.2487    0.9823
    0.3210  115.5600    0.9021   -0.7785   -0.2304    0.9773
    0.3220  115.9200    0.8994   -0.7863   -0.2120    0.9716
    0.3230  116.2800    0.8966   -0.7940   -0.1935    0.9654
    0.3240  116.6400    0.8938   -0.8016   -0.1750    0.9585
    0.3250  117.0000    0.8910   -0.8090   -0.1564    0.9511
    0.3260  117.3600    0.8881   -0.8163   -0.1378    0.9430
    0.3270  117.7200    0.8852   -0.8235   -0.1191    0.9343
    0.3280  118.0800    0.8823   -0.8306   -0.1004    0.9251
    0.3290  118.4400    0.8793   -0.8375   -0.0816    0.9152
    0.3300  118.8000    0.8763   -0.8443   -0.0628    0.9048
    0.3310  119.1600    0.8733   -0.8510   -0.0440    0.8938
    0.3320  119.5200    0.8702   -0.8575   -0.0251    0.8823
    0.3330  119.8800    0.8671   -0.8639   -0.0063    0.8702
    0.3340  120.2400    0.8639   -0.8702    0.0126    0.8575
    0.3350  120.6000    0.8607   -0.8763    0.0314    0.8443
    0.3360  120.9600    0.8575   -0.8823    0.0502    0.8306
    0.3370  121.3200    0.8543   -0.8881    0.0691    0.8163
    0.3380  121.6800    0.8510   -0.8938    0.0879    0.8016
    0.3390  122.0400    0.8477   -0.8994    0.1066    0.7863
    0.3400  122.4000    0.8443   -0.9048    0.1253    0.7705
    0.3410  122.7600    0.8409   -0.9101    0.1440    0.7543
    0.3420  123.1200    0.8375   -0.9152    0.1626    0.7375
    0.3430  123.4800    0.8341   -0.9202    0.1812    0.7203
    0.3440  123.8400    0.8306   -0.9251    0.1997    0.7026
    0.3450  124.2000    0.8271   -0.9298    0.2181    0.6845
    0.3460  124.5600    0.8235   -0.9343    0.2365    0.6660
    0.3470  124.9200    0.8200   -0.9387    0.2548    0.6471
    0.3480  125.2800    0.8163   -0.9430    0.2730    0.6277
    0.3490  125.6400    0.8127   -0.9471    0.2910    0.6079
    0.3500  126.0000    0.8090   -0.9511    0.3090    0.5878
    0.3510  126.3600    0.8053   -0.9549    0.3269    0.5673
    0.3520  126.7200    0.8016   -0.9585    0.3446    0.5464
    0.3530  127.0800    0.7978   -0.9620    0.3623    0.5252
    0.3540  127.4400    0.7940   -0.9654    0.3798    0.5036
    0.3550  127.8000    0.7902   -0.9686    0.3971    0.4818
    0.3560  128.1600    0.7863   -0.9716    0.4144    0.4596
    0.3570  128.5200    0.7824   -0.9745    0.4315    0.4371
    0.3580  128.8800    0.7785   -0.9773    0.4484    0.4144
    0.3590  129.2400    0.7745   -0.9799    0.4652    0.3914
    0.3600  129.6000    0.7705   -0.9823    0.4818    0.3681
    0.3610  129.9600    0.7665   -0.9846    0.4982    0.3446
    0.3620  130.3200    0.7624   -0.9867    0.5144    0.3209
    0.3630  130.6800    0.7584   -0.9887    0.5305    0.2970
    0.3640  131.0400    0.7543   -0.9905    0.5464    0.2730
    0.3650  131.4000    0.7501   -0.9921    0.5621    0.2487
    0.3660  131.7600    0.7459   -0.9936    0.5776    0.2243
    0.3670  132.1200    0.7417   -0.9950    0.5929    0.1997
    0.3680  132.4800    0.7375   -0.9961    0.6079    0.1750
    0.3690  132.8400    0.7333   -0.9972    0.6228    0.1502
    0.3700  133.2000    0.7290   -0.9980    0.6374    0.1253
    0.3710  133.5600    0.7247   -0.9987    0.6518    0.1004
    0.3720  133.9200    0.7203   -0.9993    0.6660    0.0753
    0.3730  134.2800    0.7159   -0.9997    0.6800    0.0502
    0.3740  134.6400    0.7115   -0.9999    0.6937    0.0251
    0.3750  135.0000    0.7071   -1.0000    0.7071    0.0000
    0.3760  135.3600    0.7026   -0.9999    0.7203   -0.0251
    0.3770  135.7200    0.6982   -0.9997    0.7333   -0.0502
    0.3780  136.0800    0.6937   -0.9993    0.7459   -0.0753
    0.3790  136.4400    0.6891   -0.9987    0.7584   -0.1004
    0.3800  136.8000    0.6845   -0.9980    0.7705   -0.1253
    0.3810  137.1600    0.6800   -0.9972    0.7824   -0.1502
    0.3820  137.5200    0.6753   -0.9961    0.7940   -0.1750
    0.3830  137.8800    0.6707   -0.9950    0.8053   -0.1997
    0.3840  138.2400    0.6660   -0.9936    0.8163   -0.2243
    0.3850  138.6000    0.6613   -0.9921    0.8271   -0.2487
    0.3860  138.9600    0.6566   -0.9905    0.8375   -0.2730
    0.3870  139.3200    0.6518   -0.9887    0.8477   -0.2970
    0.3880  139.6800    0.6471   -0.9867    0.8575   -0.3209
    0.3890  140.0400    0.6423   -0.9846    0.8671   -0.3446
    0.3900  140.4000    0.6374   -0.9823    0.8763   -0.3681
    0.3910  140.7600    0.6326   -0.9799    0.8852   -0.3914
    0.3920  141.1200    0.6277   -0.9773    0.8938   -0.4144
    0.3930  141.4800    0.6228   -0.9745    0.9021   -0.4371
    0.3940  141.8400    0.6179   -0.9716    0.9101   -0.4596
    0.3950  142.2000    0.6129   -0.9686    0.9178   -0.4818
    0.3960  142.5600    0.6079   -0.9654    0.9251   -0.5036
    0.3970  142.9200    0.6029   -0.9620    0.9321   -0.5252
    0.3980  143.2800    0.5979   -0.9585    0.9387   -0.5464
    0.3990  143.6400    0.5929   -0.9549    0.9451   -0.5673
    0.4000  144.0000    0.5878   -0.9511    0.9511   -0.5878
    0.4010  144.3600    0.5827   -0.9471    0.9567   -0.6079
    0.4020  144.7200    0.5776   -0.9430    0.9620   -0.6277
    0.4030  145.0800    0.5724   -0.9387    0.9670   -0.6471
    0.4040  145.4400    0.5673   -0.9343    0.9716   -0.6660
    0.4050  145.8000    0.5621   -0.9298    0.9759   -0.6845
    0.4060  146.1600    0.5569   -0.9251    0.9799   -0.7026
    0.4070  146.5200    0.5516   -0.9202    0.9834   -0.7203
    0.4080  146.8800    0.5464   -0.9152    0.9867   -0.7375
    0.4090  147.2400    0.5411   -0.9101    0.9896   -0.7543
    0.4100  147.6000    0.5358   -0.9048    0.9921   -0.7705
    0.4110  147.9600    0.5305   -0.8994    0.9943   -0.7863
    0.4120  148.3200    0.5252   -0.8938    0.9961   -0.8016
    0.4130  148.6800    0.5198   -0.8881    0.9976   -0.8163
    0.4140  149.0400    0.5144   -0.8823    0.9987   -0.8306
    0.4150  149.4000    0.5090   -0.8763    0.9995   -0.8443
    0.4160  149.7600    0.5036   -0.8702    0.9999   -0.8575
    0.4170  150.1200    0.4982   -0.8639    1.0000   -0.8702
    0.4180  150.4800    0.4927   -0.8575    0.9997   -0.8823
    0.4190  150.8400    0.4873   -0.8510    0.9990   -0.8938
    0.4200  151.2000    0.4818   -0.8443    0.9980   -0.9048
    0.4210  151.5600    0.4762   -0.8375    0.9967   -0.9152
    0.4220  151.9200    0.4707   -0.8306    0.9950   -0.9251
    0.4230  152.2800    0.4652   -0.8235    0.9929   -0.9343
    0.4240  152.6400    0.4596   -0.8163    0.9905   -0.9430
    0.4250  153.0000    0.4540   -0.8090    0.9877   -0.9511
    0.4260  153.3600    0.4484   -0.8016    0.9846   -0.9585
    0.4270  153.7200    0.4428   -0.7940    0.9811   -0.9654
    0.4280  154.0800    0.4371   -0.7863    0.9773   -0.9716
    0.4290  154.4400    0.4315   -0.7785    0.9731   -0.9773
    0.4300  154.8000    0.4258   -0.7705    0.9686   -0.9823
